   
   
sim_type_id
sim_id
tracker_id
sim_position
tracker_position
position_error
sim_obj_static
tracker_obj_static
is_same_status
sim_velocity
tracker_velocity
velocity_error
sim_heading
tracker_heading
heading_error
tracker_box_length,4.63
box_length_error,0.05
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,6
sim_position,(369.85_175.6_-0.0)
tracker_position,(369.96_175.72_0.76)
position_error,0.16
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.27
tracker_velocity,3.26
velocity_error,0.0
sim_heading,-2.15
tracker_heading,-2.18
heading_error,0
sim_velocity_vector,(-1.31_-2.99_-0.0)
tracker_velocity_vector,(-1.99_-2.58_0.0)
velocity_heading_error,13.980000000000004
sim_box_width,2.23
tracker_box_width,1.9
box_width_error,0.15
sim_box_length,4.89
tracker_box_length,4.64
box_length_error,0.05
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,4
sim_position,(369.72_175.3_-0.0)
tracker_position,(369.74_175.24_0.76)
position_error,0.06
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.27
tracker_velocity,3.34
velocity_error,0.02
sim_heading,-2.11
tracker_heading,-2.12
heading_error,0
sim_velocity_vector,(-1.17_-3.05_-0.0)
tracker_velocity_vector,(-1.89_-2.76_0.0)
velocity_heading_error,13.41000000000001
sim_box_width,2.23
tracker_box_width,1.93
box_width_error,0.13
sim_box_length,4.89
tracker_box_length,4.62
box_length_error,0.06
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,4
sim_position,(369.6_174.99_-0.0)
tracker_position,(369.64_174.95_0.76)
position_error,0.06
sim_obj_static,False
tracker_obj_static,False
is_same_status,True
sim_velocity,3.44
tracker_velocity,3.27
velocity_error,0.05
sim_heading,-2.07
tracker_heading,-2.08
heading_error,0
sim_velocity_vector,(-1.16_-3.24_0.0)
tracker_velocity_vector,(-1.75_-2.76_0.0)
velocity_heading_error,12.679999999999993
sim_box_width,2.23
tracker_box_width,1.89
box_width_error,0.15
sim_box_length,4.89
tracker_box_length,4.69
box_length_error,0.04
sim_box_height,1.48
tracker_box_height,1.52
box_height_error,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020
sim_id,1705
tracker_id,3
sim_position,(369.48_174.66_-0.0)
